DATE,PUT
03/04/1991,153.500000
08/07/1991,163.670000
09/27/1994,234.310000
02/03/1997,343.440000
11/18/1997,406.310000
01/12/2001,697.960000
03/16/2004,694.530000
01/03/2007,923.600000
01/04/2007,925.100000
01/05/2007,921.330000
01/08/2007,924.050000
01/09/2007,923.720000
01/10/2007,925.290000
01/11/2007,929.750000
01/12/2007,932.790000
01/16/2007,933.970000
01/17/2007,934.330000
01/18/2007,933.700000
01/19/2007,936.080000
01/22/2007,934.550000
01/23/2007,936.400000
01/24/2007,939.680000
01/25/2007,935.140000
01/26/2007,935.170000
01/29/2007,934.970000
01/30/2007,937.850000
01/31/2007,941.030000
02/01/2007,942.690000
02/02/2007,943.650000
02/05/2007,944.040000
02/06/2007,944.600000
02/07/2007,945.230000
02/08/2007,945.430000
02/09/2007,944.300000
02/12/2007,944.030000
02/13/2007,946.660000
02/14/2007,947.320000
02/15/2007,947.690000
02/16/2007,948.200000
02/20/2007,950.060000
02/21/2007,949.930000
02/22/2007,949.930000
02/23/2007,949.010000
02/26/2007,949.050000
02/27/2007,921.600000
02/28/2007,928.290000
03/01/2007,926.270000
03/02/2007,916.090000
03/05/2007,908.420000
03/06/2007,922.050000
03/07/2007,919.940000
03/08/2007,926.820000
03/09/2007,927.290000
03/12/2007,930.340000
03/13/2007,911.320000
03/14/2007,917.610000
03/15/2007,920.590000
03/16/2007,920.640000
03/19/2007,926.080000
03/20/2007,929.220000
03/21/2007,933.280000
03/22/2007,933.180000
03/23/2007,933.510000
03/26/2007,934.420000
03/27/2007,933.740000
03/28/2007,931.470000
03/29/2007,932.270000
03/30/2007,932.750000
04/02/2007,934.560000
04/03/2007,936.390000
04/04/2007,937.130000
04/05/2007,937.740000
04/09/2007,938.490000
04/10/2007,938.960000
04/11/2007,938.920000
04/12/2007,939.410000
04/13/2007,939.660000
04/16/2007,940.190000
04/17/2007,940.390000
04/18/2007,940.590000
04/19/2007,940.790000
04/20/2007,941.750000
04/23/2007,941.510000
04/24/2007,941.540000
04/25/2007,944.480000
04/26/2007,945.160000
04/27/2007,945.750000
04/30/2007,942.960000
05/01/2007,944.510000
05/02/2007,947.130000
05/03/2007,948.490000
05/04/2007,949.330000
05/07/2007,950.470000
05/08/2007,950.710000
05/09/2007,951.680000
05/10/2007,949.490000
05/11/2007,952.140000
05/14/2007,952.410000
05/15/2007,952.870000
05/16/2007,953.880000
05/17/2007,954.220000
05/18/2007,955.420000
05/21/2007,956.540000
05/22/2007,956.760000
05/23/2007,956.600000
05/24/2007,952.510000
05/25/2007,956.150000
05/29/2007,957.710000
05/30/2007,960.940000
05/31/2007,961.100000
06/01/2007,962.560000
06/04/2007,963.580000
06/05/2007,962.980000
06/06/2007,960.160000
06/07/2007,949.940000
06/08/2007,958.310000
06/11/2007,960.130000
06/12/2007,953.010000
06/13/2007,963.690000
06/14/2007,966.960000
06/15/2007,966.630000
06/18/2007,966.470000
06/19/2007,966.210000
06/20/2007,960.700000
06/21/2007,965.060000
06/22/2007,956.910000
06/25/2007,955.050000
06/26/2007,952.230000
06/27/2007,960.700000
06/28/2007,960.440000
06/29/2007,958.900000
07/02/2007,967.630000
07/03/2007,970.260000
07/05/2007,971.100000
07/06/2007,973.510000
07/09/2007,974.820000
07/10/2007,965.390000
07/11/2007,970.080000
07/12/2007,979.350000
07/13/2007,981.110000
07/16/2007,981.950000
07/17/2007,982.830000
07/18/2007,982.990000
07/19/2007,984.420000
07/20/2007,983.300000
07/23/2007,986.760000
07/24/2007,976.160000
07/25/2007,979.300000
07/26/2007,963.120000
07/27/2007,947.860000
07/30/2007,958.170000
07/31/2007,946.160000
08/01/2007,953.990000
08/02/2007,958.630000
08/03/2007,932.860000
08/06/2007,956.090000
08/07/2007,961.630000
08/08/2007,974.030000
08/09/2007,947.940000
08/10/2007,947.810000
08/13/2007,948.010000
08/14/2007,930.070000
08/15/2007,917.410000
08/16/2007,922.440000
08/17/2007,949.430000
08/20/2007,953.500000
08/21/2007,955.560000
08/22/2007,960.530000
08/23/2007,961.630000
08/24/2007,965.400000
08/27/2007,964.190000
08/28/2007,955.470000
08/29/2007,963.570000
08/30/2007,962.260000
08/31/2007,965.420000
09/04/2007,970.660000
09/05/2007,967.740000
09/06/2007,969.970000
09/07/2007,965.740000
09/10/2007,966.660000
09/11/2007,971.570000
09/12/2007,972.290000
09/13/2007,973.690000
09/14/2007,975.030000
09/17/2007,975.190000
09/18/2007,977.850000
09/19/2007,978.070000
09/20/2007,978.220000
09/21/2007,977.990000
09/24/2007,976.410000
09/25/2007,977.890000
