mes,serie,fecha_cierre_esperada,ultima_fecha_disponible,fecha_cierre_usada,nivel_usado,sesiones_esperadas,observaciones_validas,faltantes_intrames,estado
2007-01,VIX,2007-01-31,2007-01-31,2007-01-31,10.42,20,20,0,ok
2007-01,PUT,2007-01-31,2007-01-31,2007-01-31,941.03,20,20,0,ok
2007-01,CNDR,2007-01-31,2007-01-31,2007-01-31,697.96,20,20,0,ok
2007-01,PPUT,2007-01-31,2007-01-31,2007-01-31,471.79,20,20,0,ok
2007-01,SPY,2007-01-31,2007-01-31,2007-01-31,100.4705013892,20,20,0,ok
2007-02,VIX,2007-02-28,2007-02-28,2007-02-28,15.42,19,19,0,ok
2007-02,PUT,2007-02-28,2007-02-28,2007-02-28,928.29,19,19,0,ok
2007-02,CNDR,2007-02-28,2007-02-28,2007-02-28,686.68,19,19,0,ok
2007-02,PPUT,2007-02-28,2007-02-28,2007-02-28,464.7,19,19,0,ok
2007-02,SPY,2007-02-28,2007-02-28,2007-02-28,98.4995273564,19,19,0,ok
2007-03,VIX,2007-03-30,2007-03-30,2007-03-30,14.64,22,22,0,ok
2007-03,PUT,2007-03-30,2007-03-30,2007-03-30,932.75,22,22,0,ok
2007-03,CNDR,2007-03-30,2007-03-30,2007-03-30,673.78,22,22,0,ok
2007-03,PPUT,2007-03-30,2007-03-30,2007-03-30,465.04,22,22,0,ok
2007-03,SPY,2007-03-30,2007-03-30,2007-03-30,99.6423299413,22,22,0,ok
2007-04,VIX,2007-04-30,2007-04-30,2007-04-30,14.22,20,20,0,ok
2007-04,PUT,2007-04-30,2007-04-30,2007-04-30,942.96,20,20,0,ok
2007-04,CNDR,2007-04-30,2007-04-30,2007-04-30,660.09,20,20,0,ok
2007-04,PPUT,2007-04-30,2007-04-30,2007-04-30,484.73,20,20,0,ok
2007-04,SPY,2007-04-30,2007-04-30,2007-04-30,104.0560592218,20,20,0,ok
2007-05,VIX,2007-05-31,2007-05-31,2007-05-31,13.05,22,22,0,ok
2007-05,PUT,2007-05-31,2007-05-31,2007-05-31,961.1,22,22,0,ok
2007-05,CNDR,2007-05-31,2007-05-31,2007-05-31,672.79,22,22,0,ok
2007-05,PPUT,2007-05-31,2007-05-31,2007-05-31,500.11,22,22,0,ok
2007-05,SPY,2007-05-31,2007-05-31,2007-05-31,107.5856529866,22,22,0,ok
2007-06,VIX,2007-06-29,2007-06-29,2007-06-29,16.23,21,21,0,ok
2007-06,PUT,2007-06-29,2007-06-29,2007-06-29,958.9,21,21,0,ok
2007-06,CNDR,2007-06-29,2007-06-29,2007-06-29,675.66,21,21,0,ok
2007-06,PPUT,2007-06-29,2007-06-29,2007-06-29,492.63,21,21,0,ok
2007-06,SPY,2007-06-29,2007-06-29,2007-06-29,106.0098157136,21,21,0,ok
2007-07,VIX,2007-07-31,2007-07-31,2007-07-31,23.52,21,21,0,ok
2007-07,PUT,2007-07-31,2007-07-31,2007-07-31,946.16,21,21,0,ok
2007-07,CNDR,2007-07-31,2007-07-31,2007-07-31,672.72,21,21,0,ok
2007-07,PPUT,2007-07-31,2007-07-31,2007-07-31,482.42,21,21,0,ok
2007-07,SPY,2007-07-31,2007-07-31,2007-07-31,102.6906280039,21,21,0,ok
2007-08,VIX,2007-08-31,2007-08-31,2007-08-31,23.38,23,23,0,ok
2007-08,PUT,2007-08-31,2007-08-31,2007-08-31,965.42,23,23,0,ok
2007-08,CNDR,2007-08-31,2007-08-31,2007-08-31,678.23,23,23,0,ok
2007-08,PPUT,2007-08-31,2007-08-31,2007-08-31,476.44,23,23,0,ok
2007-08,SPY,2007-08-31,2007-08-31,2007-08-31,104.0084358518,23,23,0,ok
2007-09,VIX,2007-09-28,2007-09-28,2007-09-28,18,19,19,0,ok
2007-09,PUT,2007-09-28,2007-09-28,2007-09-28,981.42,19,19,0,ok
2007-09,CNDR,2007-09-28,2007-09-28,2007-09-28,683.23,19,19,0,ok
2007-09,PPUT,2007-09-28,2007-09-28,2007-09-28,491.59,19,19,0,ok
2007-09,SPY,2007-09-28,2007-09-28,2007-09-28,108.0334763908,19,19,0,ok
2007-10,VIX,2007-10-31,2007-10-31,2007-10-31,18.53,23,23,0,ok
2007-10,PUT,2007-10-31,2007-10-31,2007-10-31,1008.83,23,23,0,ok
2007-10,CNDR,2007-10-31,2007-10-31,2007-10-31,694.34,23,23,0,ok
2007-10,PPUT,2007-10-31,2007-10-31,2007-10-31,494.6,23,23,0,ok
