analisis,cartera,umbral_vix,episodio,cantidad_meses,meses_validos_pareados,meses_indice_activo,factor_cartera,factor_spy,factor_relativo,ventaja_relativa_pct,estado
principal,PUT_VIX_ALTO_30,30,2008_2009,24,24,9,0.828702111499615,0.798546546545504,1.03776306476381,3.77630647638061,completa
principal,PUT_VIX_ALTO_30,30,2020,12,12,5,1.05206136960778,1.18373205984927,0.888766474519368,-11.1233525480632,completa
principal,PUT_VIX_ALTO_30,30,2022,12,12,3,0.777070611478395,0.81828315378368,0.949635352854668,-5.03646471453324,completa
principal,PUT_VIX_ALTO_30,30,meses_restantes,179,179,5,9.05017301301497,8.7283129693336,1.03687540133038,3.68754013303838,completa
principal,CNDR_VIX_ALTO_30,30,2008_2009,24,24,9,0.941020072339478,0.798546546545504,1.1784160565346,17.8416056534602,completa
principal,CNDR_VIX_ALTO_30,30,2020,12,12,5,0.952400321821446,1.18373205984927,0.804574239497004,-19.5425760502996,completa
principal,CNDR_VIX_ALTO_30,30,2022,12,12,3,0.722090640700185,0.81828315378368,0.882445932512838,-11.7554067487162,completa
principal,CNDR_VIX_ALTO_30,30,meses_restantes,179,179,5,8.56574142443041,8.7283129693336,0.981374230567308,-1.86257694326919,completa
principal,PPUT_VIX_ALTO_30,30,2008_2009,24,24,9,0.912517753899598,0.798546546545504,1.14272331130493,14.2723311304934,completa
principal,PPUT_VIX_ALTO_30,30,2020,12,12,5,1.22301901731894,1.18373205984927,1.03318906262848,3.31890626284788,completa
principal,PPUT_VIX_ALTO_30,30,2022,12,12,3,0.780667225075434,0.81828315378368,0.954030669537418,-4.59693304625818,completa
principal,PPUT_VIX_ALTO_30,30,meses_restantes,179,179,5,8.14594759720592,8.7283129693336,0.93327858726265,-6.67214127373502,completa
sensibilidad,PUT_VIX_ALTO_25,25,2008_2009,24,24,17,0.835514136706961,0.798546546545504,1.04629359468321,4.62935946832124,completa
sensibilidad,PUT_VIX_ALTO_25,25,2020,12,12,8,1.09156669872631,1.18373205984927,0.922140014409429,-7.78599855905713,completa
sensibilidad,PUT_VIX_ALTO_25,25,2022,12,12,7,0.783508494223149,0.81828315378368,0.957502901777049,-4.24970982229508,completa
sensibilidad,PUT_VIX_ALTO_25,25,meses_restantes,179,179,13,8.55117187031166,8.7283129693336,0.979705001453968,-2.02949985460322,completa
sensibilidad,CNDR_VIX_ALTO_25,25,2008_2009,24,24,17,0.881534601456618,0.798546546545504,1.10392387929059,10.3923879290591,completa
sensibilidad,CNDR_VIX_ALTO_25,25,2020,12,12,8,0.997964580044915,1.18373205984927,0.843066276478136,-15.6933723521864,completa
sensibilidad,CNDR_VIX_ALTO_25,25,2022,12,12,7,0.752719353586361,0.81828315378368,0.919876390105116,-8.01236098948842,completa
sensibilidad,CNDR_VIX_ALTO_25,25,meses_restantes,179,179,13,7.01963514313392,8.7283129693336,0.804237332895485,-19.5762667104515,completa
sensibilidad,PPUT_VIX_ALTO_25,25,2008_2009,24,24,17,0.86175081797186,0.798546546545504,1.0791491387694,7.91491387694017,completa
sensibilidad,PPUT_VIX_ALTO_25,25,2020,12,12,8,1.22026311085819,1.18373205984927,1.03086091206618,3.08609120661789,completa
sensibilidad,PPUT_VIX_ALTO_25,25,2022,12,12,7,0.784672057113712,0.81828315378368,0.958924858082984,-4.10751419170159,completa
sensibilidad,PPUT_VIX_ALTO_25,25,meses_restantes,179,179,13,7.8175599211608,8.7283129693336,0.89565531719902,-10.434468280098,completa
