mes,fecha_cierre_esperada,SIEMPRE_SPY,SIEMPRE_PUT,SIEMPRE_CNDR,SIEMPRE_PPUT,PUT_VIX_ALTO_30,CNDR_VIX_ALTO_30,PPUT_VIX_ALTO_30,PUT_VIX_ALTO_25,CNDR_VIX_ALTO_25,PPUT_VIX_ALTO_25
2007-01,2007-01-31,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
2007-02,2007-02-28,9803.82559999727,9864.61643093206,9838.38615393432,9849.72127429577,9803.82559999727,9803.82559999727,9803.82559999727,9803.82559999727,9803.82559999727,9803.82559999727
2007-03,2007-03-30,9917.57068627618,9912.01130675962,9653.56180869964,9856.92787045083,9917.57068627618,9917.57068627618,9917.57068627618,9917.57068627618,9917.57068627618,9917.57068627618
2007-04,2007-04-30,10356.8766735532,10020.5094417819,9457.41876325291,10274.2745713135,10356.8766735532,10356.8766735532,10356.8766735532,10356.8766735532,10356.8766735532,10356.8766735532
2007-05,2007-05-31,10708.1831481897,10213.276941224,9639.37761476302,10600.2670679752,10708.1831481897,10708.1831481897,10708.1831481897,10708.1831481897,10708.1831481897,10708.1831481897
2007-06,2007-06-29,10551.3373823966,10189.8983029234,9680.49744971058,10441.7219525636,10551.3373823966,10551.3373823966,10551.3373823966,10551.3373823966,10551.3373823966,10551.3373823966
2007-07,2007-07-31,10220.9729805269,10054.5147338555,9638.37469195942,10225.3121092011,10220.9729805269,10220.9729805269,10220.9729805269,10220.9729805269,10220.9729805269,10220.9729805269
2007-08,2007-08-31,10352.1366384841,10259.1840855233,9717.31904407129,10098.5608003561,10352.1366384841,10352.1366384841,10352.1366384841,10352.1366384841,10352.1366384841,10352.1366384841
2007-09,2007-09-28,10752.7557737871,10429.2105458912,9788.95638718551,10419.6782466775,10752.7557737871,10752.7557737871,10752.7557737871,10752.7557737871,10752.7557737871,10752.7557737871
2007-10,2007-10-31,10898.6341204694,10720.487125809,9948.13456358531,10483.4778185209,10898.6341204694,10898.6341204694,10898.6341204694,10898.6341204694,10898.6341204694,10898.6341204694
2007-11,2007-11-30,10476.5021325767,10607.2069965888,10138.2600722104,9925.60249263443,10476.5021325767,10476.5021325767,10476.5021325767,10476.5021325767,10476.5021325767,10476.5021325767
2007-12,2007-12-31,10357.7808340256,10739.4025695249,10269.3564101095,9824.92210517391,10357.7808340256,10357.7808340256,10357.7808340256,10357.7808340256,10357.7808340256,10357.7808340256
2008-01,2008-01-31,9731.5384259653,10162.2690031136,9516.01810992034,9489.60342525276,9731.5384259653,9731.5384259653,9731.5384259653,9731.5384259653,9731.5384259653,9731.5384259653
2008-02,2008-02-29,9480.05086761102,10336.3335919152,9669.46529887099,9152.58907564806,9480.05086761102,9480.05086761102,9480.05086761102,9898.22523911736,9888.46091165004,9385.93198212253
2008-03,2008-03-31,9394.4321249845,10465.2349021817,9858.30133532008,8962.4621123805,9394.4321249845,9394.4321249845,9394.4321249845,10021.6630317629,10081.5737371706,9190.95778078481
2008-04,2008-04-30,9842.1923830102,10701.0403494044,9969.91231589203,9324.91150723838,9842.1923830102,9842.1923830102,9842.1923830102,10247.4738000074,10195.7125012681,9562.64772982327
2008-05,2008-05-30,9990.97215365248,10889.1321211864,10124.792251705,9389.77087263401,9990.97215365248,9990.97215365248,9990.97215365248,10402.3800182865,10349.8362684575,9707.20175606157
2008-06,2008-06-30,9156.7354318876,10349.7231756692,10102.5846753396,8636.04569829797,9156.7354318876,9156.7354318876,9156.7354318876,9533.79112908265,9485.63473264956,8896.65959400313
2008-07,2008-07-31,9074.4549610559,10407.8509718075,10363.774428334,8397.8041077598,9074.4549610559,9074.4549610559,9074.4549610559,9448.12251620778,9400.39884287798,8816.71610915867
2008-08,2008-08-29,9214.68873676307,10553.9674611861,10514.3561235601,8470.92986286271,9214.68873676307,9214.68873676307,9214.68873676307,9594.13083290315,9545.66965292085,8952.96686963207
2008-09,2008-09-30,8345.06855146566,10280.9687257579,10555.9057825663,7833.1461031391,8345.06855146566,8345.06855146566,8345.06855146566,8688.70146127495,8644.81372066969,8108.04622927781
2008-10,2008-10-31,6966.57486388576,8466.36132748159,9807.86864576766,7812.79806693656,6872.15062548524,7753.70090247274,8323.39070264705,7155.13177794905,8032.20483262451,8086.98408948967
2008-11,2008-11-28,6481.65536154079,7637.37606665037,9521.17599862456,7906.6957756629,6199.26278637929,7527.05338942259,8423.42494250794,6454.53578944909,7797.41640416667,8184.17708872038
2008-12,2008-12-31,6545.40446413747,7864.78645739243,9859.73408218236,7849.25496513279,6383.85193849911,7794.70360098556,8362.2301817804,6646.72594653022,8074.68030044148,8124.72042327676
2009-01,2009-01-30,6007.9330327089,7760.85778349256,9987.82165167058,7079.84484622395,6299.49297084809,7895.96440891501,7542.53652332655,6558.89324857445,8179.57827897287,7328.30826253755
2009-02,2009-02-27,5362.3865553926,7333.02870259184,10110.8946071408,6475.12664532949,5952.22384634603,7993.26086754074,6898.29795374836,6197.32428950499,8280.36951337831,6702.36779570863
2009-03,2009-03-31,5810.06154845116,7945.65529260491,10297.8680726689,6724.3900888107,6449.49322109873,8141.07446300823,7163.85160177638,6715.07020332402,8433.49240150298,6960.3790081134
2009-04,2009-04-30,6387.26846211382,8282.09515105789,10322.6545933864,7204.47656796456,6722.5816583003,8160.66967528093,7675.31334734056,6999.40386562256,8453.79145103982,7457.31386873993
2009-05,2009-05-29,6760.62637764456,8664.97348649884,10482.4058685311,7446.32145658026,7033.36423544409,8286.96251738533,7932.9636129868,7322.98383569888,8584.62058533792,7707.64617601361
2009-06,2009-06-30,6756.07311237093,8831.81195073483,10664.0781706688,7381.46209118464,7028.62728189258,8281.38126846747,7927.62078146227,7463.98315654812,8733.40205824374,7640.5106054389
2009-07,2009-07-31,7260.11519849357,9233.07439720307,10685.4260989168,7807.92301659636,7553.00348369191,8899.22015521546,8519.0670920951,7803.09999446324,8750.88505466564,8081.93795183209
2009-08,2009-08-31,7528.30096441925,9314.79336471738,10539.7157430225,8048.07223552852,7832.00842630405,9227.95380588301,8833.7580399109,7872.16271913399,8631.5548039202,8330.51508079009
2009-09,2009-09-30,7795.23364738765,9506.49819878218,10662.2155997478,8288.857330592,8109.70973396236,9555.15146699603,9146.97861191403,8034.17722538369,8731.87669613981,8579.75040161647
2009-10,2009-10-30,7645.36789964273,9488.75168698128,10719.8120236117,8184.78560376439,7953.79808740358,9371.45076164292,8971.12515436684,8019.17920845259,8779.04558581501,8472.02633249169
2009-11,2009-11-30,8116.37453540823,10048.3512746671,10940.5983150897,8461.81563831366,8422.87371263616,9564.46607337363,9274.77038489274,8492.11068844757,8959.85966290323,8758.7785898157
2009-12,2009-12-31,8271.17011488636,10342.709584179,11100.7794142931,8533.03376502257,8583.51484760728,9746.87966971124,9451.65890204936,8654.07231174082,9130.74219949777,8925.82610609484
2010-01,2010-01-29,7970.57572360321,10028.0543659607,10946.7591265975,8331.88494881197,8271.56909085846,9392.65441251893,9108.16268388258,8339.56232554355,8798.90887297947,8601.43992762271
2010-02,2010-02-26,8219.21552873595,10344.8349149336,11237.8932890137,8388.26596578986,8529.5982970553,9685.65555118099,9392.28918532608,8599.71256103723,9073.38829120767,8869.75935919551
2010-03,2010-03-31,8719.80884308769,10621.1279130315,11045.7619347814,8829.14008351173,9049.09554915722,10275.5627506069,9964.32883511921,9123.48013938468,9626.00520473377,9409.9742032519
2010-04,2010-04-30,8854.70503117874,10724.1001880918,10945.8994784801,8946.77716780771,9189.08583073555,10434.5265846188,10118.477853857,9264.62115693153,9774.92032799276,9555.54730845364
2010-05,2010-05-28,8151.15806126586,9752.08016747606,10076.508682446,8756.65020454016,8458.97077103346,9605.45553874715,9314.51833073963,8528.5044687529,8998.25802770338,8796.31520178832
2010-06,2010-06-30,7729.38870741494,9361.12557516763,9917.47378073242,8486.61480743551,8119.85609884612,9453.85514562886,9027.27953536378,8186.60223555532,8856.24087413093,8525.05662538191
2010-07,2010-07-30,8257.31149745391,10141.7595613317,10327.2393833457,8620.78467114606,8796.97933393397,9844.46516753724,9169.9970844006,8869.29150032004,9222.15894549779,8659.83423830597
2010-08,2010-08-31,7885.89347779614,10218.377735035,10463.6368846352,8183.30189279129,8401.28678386031,9401.65617840755,8757.52600850553,8470.34631267245,8807.34160288426,8270.31054353584
2010-09,2010-09-30,8592.10504185654,10633.6673644836,10469.5111467706,8779.75370397847,9153.6537663025,10243.6100208232,9541.79555984808,8814.5934204526,8812.28602458596,8873.10410625626
2010-10,2010-10-29,8920.34107079056,10839.1868484533,10429.6807839991,9044.06621590114,9503.34210784991,10634.9369260233,9906.31171371344,9151.32896161541,9148.93341849582,9212.07487558083
2010-11,2010-11-30,8920.34107079056,10929.6196720615,10507.1923892487,9024.98993196126,9503.34210784991,10634.9369260233,9906.31171371344,9151.32896161541,9148.93341849582,9212.07487558083
