mes,fecha_cierre_esperada,nivel_VIX,nivel_PUT,nivel_CNDR,nivel_PPUT,nivel_SPY,fecha_cierre_VIX,fecha_cierre_PUT,fecha_cierre_CNDR,fecha_cierre_PPUT,fecha_cierre_SPY,retorno_PUT,retorno_CNDR,retorno_PPUT,retorno_SPY,vix_previo,fecha_vix_previo,regimen_30,regimen_25
2007-01,2007-01-31,10.42,941.03,697.96,471.79,100.4705013892,2007-01-31,2007-01-31,2007-01-31,2007-01-31,2007-01-31,,,,,,,,
2007-02,2007-02-28,15.42,928.29,686.68,464.7,98.4995273564,2007-02-28,2007-02-28,2007-02-28,2007-02-28,2007-02-28,-0.0135383569067936,-0.0161613846065678,-0.0150278725704234,-0.0196174400002732,10.42,2007-01-31,bajo,bajo
2007-03,2007-03-30,14.64,932.75,673.78,465.04,99.6423299413,2007-03-30,2007-03-30,2007-03-30,2007-03-30,2007-03-30,0.00480453306617545,-0.0187860429894565,0.000731654831073847,0.0116021123712098,15.42,2007-02-28,bajo,bajo
2007-04,2007-04-30,14.22,942.96,660.09,484.73,104.0560592218,2007-04-30,2007-04-30,2007-04-30,2007-04-30,2007-04-30,0.0109461270436881,-0.0203182047552612,0.0423404438327886,0.0442957253518677,14.64,2007-03-30,bajo,bajo
2007-05,2007-05-31,13.05,961.1,672.79,500.11,107.5856529866,2007-05-31,2007-05-31,2007-05-31,2007-05-31,2007-05-31,0.0192372953253583,0.0192398006332468,0.0317290037752975,0.033920117590428,14.22,2007-04-30,bajo,bajo
2007-06,2007-06-29,16.23,958.9,675.66,492.63,106.0098157136,2007-06-29,2007-06-29,2007-06-29,2007-06-29,2007-06-29,-0.00228904380397466,0.00426581845746821,-0.0149567095239048,-0.0146472808339627,13.05,2007-05-31,bajo,bajo
2007-07,2007-07-31,23.52,946.16,672.72,482.42,102.6906280039,2007-07-31,2007-07-31,2007-07-31,2007-07-31,2007-07-31,-0.013286056940244,-0.00435130095018199,-0.020725493778292,-0.0313101922435866,16.23,2007-06-29,bajo,bajo
2007-08,2007-08-31,23.38,965.42,678.23,476.44,104.0084358518,2007-08-31,2007-08-31,2007-08-31,2007-08-31,2007-08-31,0.0203559651644543,0.00819062908788193,-0.0123958376518387,0.0128327956846261,23.52,2007-07-31,bajo,bajo
2007-09,2007-09-28,18,981.42,683.23,491.59,108.0334763908,2007-09-28,2007-09-28,2007-09-28,2007-09-28,2007-09-28,0.0165730977191274,0.00737213039824258,0.0317983376710602,0.0386991738317768,23.38,2007-08-31,bajo,bajo
2007-10,2007-10-31,18.53,1008.83,694.34,494.6,109.4991234541,2007-10-31,2007-10-31,2007-10-31,2007-10-31,2007-10-31,0.027928919320984,0.0162609955651831,0.00612298866941963,0.0135666009487483,18,2007-09-28,bajo,bajo
2007-11,2007-11-30,22.87,998.17,707.61,468.28,105.2579422065,2007-11-30,2007-11-30,2007-11-30,2007-11-30,2007-11-30,-0.0105666960736696,0.0191116743958291,-0.0532147189648201,-0.0387325588900976,18.53,2007-10-31,bajo,bajo
2007-12,2007-12-31,22.5,1010.61,716.76,463.53,104.0651433674,2007-12-31,2007-12-31,2007-12-31,2007-12-31,2007-12-31,0.0124628069366941,0.0129308517403655,-0.0101435038865636,-0.0113321504686071,22.87,2007-11-30,bajo,bajo
2008-01,2008-01-31,26.2,956.3,664.18,447.71,97.7732544945,2008-01-31,2008-01-31,2008-01-31,2008-01-31,2008-01-31,-0.0537398205044479,-0.0733578882750154,-0.0341293983129463,-0.0604610599601695,22.5,2007-12-31,bajo,bajo
2008-02,2008-02-29,26.54,972.68,674.89,431.81,95.2465463864,2008-02-29,2008-02-29,2008-02-29,2008-02-29,2008-02-29,0.017128516156018,0.0161251467975549,-0.0355140604409103,-0.0258425284211249,26.2,2008-01-31,bajo,alto
2008-03,2008-03-31,25.61,984.81,688.07,422.84,94.3863305864,2008-03-31,2008-03-31,2008-03-31,2008-03-31,2008-03-31,0.0124706995106305,0.0195291084473026,-0.0207730251731086,-0.00903146447442027,26.54,2008-02-29,bajo,alto
2008-04,2008-04-30,20.79,1007,695.86,439.94,98.885000349,2008-04-30,2008-04-30,2008-04-30,2008-04-30,2008-04-30,0.022532265106975,0.0113215225195111,0.040440828682244,0.047662301677063,25.61,2008-03-31,bajo,alto
2008-05,2008-05-30,17.83,1024.7,706.67,443,100.3797981643,2008-05-30,2008-05-30,2008-05-30,2008-05-30,2008-05-30,0.0175769612711023,0.0155347339982179,0.0069554939309906,0.0151165273805363,20.79,2008-04-30,bajo,bajo
2008-06,2008-06-30,23.95,973.94,705.12,407.44,91.998179993,2008-06-30,2008-06-30,2008-06-30,2008-06-30,2008-06-30,-0.049536449692593,-0.00219338588025519,-0.0802708803611738,-0.0834990538393104,17.83,2008-05-30,bajo,bajo
2008-07,2008-07-31,22.94,979.41,723.35,396.2,91.1715039771,2008-07-31,2008-07-31,2008-07-31,2008-07-31,2008-07-31,0.00561636240425489,0.0258537553891536,-0.0275868839583743,-0.00898578663146266,23.95,2008-06-30,bajo,bajo
2008-08,2008-08-29,20.65,993.16,733.86,399.65,92.5804397528,2008-08-29,2008-08-29,2008-08-29,2008-08-29,2008-08-29,0.0140390643346504,0.0145296191331996,0.00870772337203429,0.0154536857925902,22.94,2008-07-31,bajo,bajo
2008-09,2008-09-30,39.39,967.47,736.76,369.56,83.8433221493,2008-09-30,2008-09-30,2008-09-30,2008-09-30,2008-09-30,-0.0258669297998307,0.00395170741013273,-0.0752908795195796,-0.0943732566709456,20.65,2008-08-29,bajo,bajo
2008-10,2008-10-31,59.89,796.71,684.55,368.6,69.993526954,2008-10-31,2008-10-31,2008-10-31,2008-10-31,2008-10-31,-0.176501596948743,-0.0708643248819155,-0.00259768373200553,-0.165186622384042,39.39,2008-09-30,alto,alto
2008-11,2008-11-28,55.84,718.7,664.54,373.03,65.1215164006,2008-11-28,2008-11-28,2008-11-28,2008-11-28,2008-11-28,-0.0979151761619661,-0.0292308816010518,0.0120184481823113,-0.0696065874291762,59.89,2008-10-31,alto,alto
